Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
14Vpwnowivb3V5Er6Wt4n9fAwXkPJ2CM47WTah92g1w7,1.87%,20.16h,"$-8,393.93","$35,496.96",40.00%,[],0.24,https://gmgn.ai/sol/address/14Vpwnowivb3V5Er6Wt4n9fAwXkPJ2CM47WTah92g1w7,99
24BLFjSAcUPPWs8F7nhwthfRPvh5mopNYfu5WXTkLChr,2.63%,0s,$0.00,"$129,221.87",?,[],2.42,https://gmgn.ai/sol/address/24BLFjSAcUPPWs8F7nhwthfRPvh5mopNYfu5WXTkLChr,0
2DvW7X3VKSYtbjjL6eSWbvhAXGRg31Y5hWhderg4BUJJ,455.36%,0s,$0.00,"$3,990.43",?,[],1.43,https://gmgn.ai/sol/address/2DvW7X3VKSYtbjjL6eSWbvhAXGRg31Y5hWhderg4BUJJ,0
2E7rv3FP2uVU5VGv7FeZrXVphyH3dtJvAQfnKuRRUM3U,0.12%,21.85h,"$-1,724.99","$14,118.09",33.33%,[],1.31,https://gmgn.ai/sol/address/2E7rv3FP2uVU5VGv7FeZrXVphyH3dtJvAQfnKuRRUM3U,27
2FYqsn1xpQFp2z8ZcyEqk6m5fqfzX8Q2NhX8dwmwom8C,51.31%,0s,$0.00,"$-18,094.75",?,[],0.10,https://gmgn.ai/sol/address/2FYqsn1xpQFp2z8ZcyEqk6m5fqfzX8Q2NhX8dwmwom8C,0
2EgfuKipGLc3j14GVi2fr2ace46YA47xSxmfPdj11Htv,59.92%,416.30h,"$-6,151.74","$-3,295.18",25.00%,[],5.28,https://gmgn.ai/sol/address/2EgfuKipGLc3j14GVi2fr2ace46YA47xSxmfPdj11Htv,12
2SRnTzBGGTb2hsXCchRSRGAQF7keFWsgfZ1n7kRMjS9y,27.45%,?,$-642.89,"$67,849.13",?,['photon'],0.00,https://gmgn.ai/sol/address/2SRnTzBGGTb2hsXCchRSRGAQF7keFWsgfZ1n7kRMjS9y,7
2WMmN9bW2NDFHK9nLkXutLJTCNGpf6oXhwYkCkJMv6n6,3.96%,24.17h,"$5,563.19","$16,092.62",66.67%,[],136.15,https://gmgn.ai/sol/address/2WMmN9bW2NDFHK9nLkXutLJTCNGpf6oXhwYkCkJMv6n6,35
2UGcmcD6W3smZyujtiic1YvoEbcymXjuEpJxXWre7PUz,10.83%,37.71h,$632.06,"$6,107.42",100.00%,[],20.18,https://gmgn.ai/sol/address/2UGcmcD6W3smZyujtiic1YvoEbcymXjuEpJxXWre7PUz,6
2YeyhNnxnqmVrCDoDjmSpKMBvzgzQkSvBt1ronAkSueC,5.25%,?,"$-11,309.72","$33,726.55",?,['axiom'],0.01,https://gmgn.ai/sol/address/2YeyhNnxnqmVrCDoDjmSpKMBvzgzQkSvBt1ronAkSueC,30
2dM6wMKS2is3jpwMueXvLfCgwveMiwB1iQNowkjx3x8S,33.94%,0s,$0.00,"$-297,847.20",?,[],5.02,https://gmgn.ai/sol/address/2dM6wMKS2is3jpwMueXvLfCgwveMiwB1iQNowkjx3x8S,0
38RyBRVHebJyQ9s9w2DbSPYKsditzBxdQ6j1okxHpUuf,3.05%,33.30h,"$-11,506.58","$56,874.09",50.00%,[],0.77,https://gmgn.ai/sol/address/38RyBRVHebJyQ9s9w2DbSPYKsditzBxdQ6j1okxHpUuf,133
3A3bk5FuccJTTmYuvXg63fwGmsKYywazQYrF2ueaL6Jm,-3.35%,680.04h,"$-21,725.95","$-61,883.58",33.33%,[],21.02,https://gmgn.ai/sol/address/3A3bk5FuccJTTmYuvXg63fwGmsKYywazQYrF2ueaL6Jm,5
3HRospuJFML9mDRYGvtr7Bw2Gewzd8bPPZzAy6Yqcm1T,7.98%,2.61h,"$2,706.17","$23,978.76",38.24%,[],0.11,https://gmgn.ai/sol/address/3HRospuJFML9mDRYGvtr7Bw2Gewzd8bPPZzAy6Yqcm1T,209
3KV73rGKCTQbfmagcnb3cWZ31zsqUe3sMwhTuRNM9Fxr,8.61%,0s,$0.00,"$-62,164.52",?,[],0.00,https://gmgn.ai/sol/address/3KV73rGKCTQbfmagcnb3cWZ31zsqUe3sMwhTuRNM9Fxr,0
3SUqUNni3ZR4xzzWvtCHyvStT1SEbqegucsFpPn1C41N,6.16%,2.72h,"$1,526.26","$10,337.23",73.68%,['axiom'],322.65,https://gmgn.ai/sol/address/3SUqUNni3ZR4xzzWvtCHyvStT1SEbqegucsFpPn1C41N,87
3cK2JeewALDfRkq1GYr68ijGS2k8C4pMqvDsihG6rYCa,23.01%,1.97h,$575.34,"$33,641.08",42.11%,['photon'],3.04,https://gmgn.ai/sol/address/3cK2JeewALDfRkq1GYr68ijGS2k8C4pMqvDsihG6rYCa,45
3hUq5auhi1nzBZ97V54y8vkvTj5E4wTLKSPPpaedV14x,5.38%,?,"$-1,114.12","$35,821.39",?,[],1.68,https://gmgn.ai/sol/address/3hUq5auhi1nzBZ97V54y8vkvTj5E4wTLKSPPpaedV14x,4
3mgd3VZvg3KUCXXFFHrwxi9XNeXyVrsgpA8vFak8Giys,85.40%,?,$0.00,"$-4,238.77",?,[],0.01,https://gmgn.ai/sol/address/3mgd3VZvg3KUCXXFFHrwxi9XNeXyVrsgpA8vFak8Giys,0
3nptjNHuusLfyduYekcXS3143FTmPsWhqFidGBZYbUpf,-0.41%,555.25h,"$163,919.48","$177,400.28",66.67%,[],0.55,https://gmgn.ai/sol/address/3nptjNHuusLfyduYekcXS3143FTmPsWhqFidGBZYbUpf,50
3pPBHVz4SocV9dsm7kDqxD9tmArXQEdUmD5KYNY4nDmz,32.52%,27.69h,"$34,067.57","$52,059.88",75.00%,['photon'],51.49,https://gmgn.ai/sol/address/3pPBHVz4SocV9dsm7kDqxD9tmArXQEdUmD5KYNY4nDmz,42
3rzai4SPgJzTjegjonSv5UuhDwYXxZJtAbcjaquicgkx,16.92%,9.42h,"$10,942.10","$41,264.78",72.09%,"['axiom', 'photon', 'gmgn']",6.42,https://gmgn.ai/sol/address/3rzai4SPgJzTjegjonSv5UuhDwYXxZJtAbcjaquicgkx,223
46H7Qx1aMz9exatTAVMn63VLHy2mEYqUWnRyopFCAfJY,78.63%,0s,$0.00,"$123,954.79",?,[],0.00,https://gmgn.ai/sol/address/46H7Qx1aMz9exatTAVMn63VLHy2mEYqUWnRyopFCAfJY,0
4C2dpRtw5yDxtfgymnS5smrvuYXpdktcZX5Qv92DqxsK,20.45%,84.22h,"$-48,050.29","$-78,156.84",0.00%,[],500.47,https://gmgn.ai/sol/address/4C2dpRtw5yDxtfgymnS5smrvuYXpdktcZX5Qv92DqxsK,38
4J54atPc5YU48PXBTfjhQRV9bhkL4eYA8ocBmMkERoNq,51.89%,140.71h,$0.00,"$26,101.45",?,[],17.53,https://gmgn.ai/sol/address/4J54atPc5YU48PXBTfjhQRV9bhkL4eYA8ocBmMkERoNq,4
