Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
FaQQATa15TpZRqbVSCs7VYtFq5rUp9e6zw5zSzdpfPYJ,66.74%,64.14h,"$-3,605.04","$-16,136.89",0.00%,[],2.61,https://gmgn.ai/sol/address/FaQQATa15TpZRqbVSCs7VYtFq5rUp9e6zw5zSzdpfPYJ,12
BkWpyDT1BGN3AxVsnmpg2TF1LCTeXhHWNhwht2pwjkki,-1.61%,0s,$0.00,"$23,079.46",?,['pepeboost'],1.80,https://gmgn.ai/sol/address/BkWpyDT1BGN3AxVsnmpg2TF1LCTeXhHWNhwht2pwjkki,0
HyYNVYmnFmi87NsQqWzLJhUTPBKQUfgfhdbBa554nMFF,84.18%,2.40h,$-439.04,"$32,599.46",17.65%,['photon'],0.25,https://gmgn.ai/sol/address/HyYNVYmnFmi87NsQqWzLJhUTPBKQUfgfhdbBa554nMFF,20
CWaTfG6yzJPQRY5P53nQYHdHLjCJGxpC7EWo5wzGqs3n,22.14%,842.98h,"$-13,206.16","$-9,504.05",33.33%,['bluechip_owner'],52.02,https://gmgn.ai/sol/address/CWaTfG6yzJPQRY5P53nQYHdHLjCJGxpC7EWo5wzGqs3n,499
2egyyfk5Zbit7vnJC28MqKaGSBWLxxdcZj9Wxmi8fuvj,41.05%,21.29h,"$6,966.86","$38,212.23",48.39%,"['axiom', 'trojan']",111.35,https://gmgn.ai/sol/address/2egyyfk5Zbit7vnJC28MqKaGSBWLxxdcZj9Wxmi8fuvj,35
bobCPc5nqVoX7r8gKzCMPLrKjFidjnSCrAdcYGCH2Ye,0.10%,187.01h,"$20,793.03","$12,290.54",72.35%,"['sandwich_bot', 'bluechip_owner']",49.30,https://gmgn.ai/sol/address/bobCPc5nqVoX7r8gKzCMPLrKjFidjnSCrAdcYGCH2Ye,21789
5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,33.82%,5.40h,"$22,880.64","$165,236.17",49.12%,"['kol', 'photon', 'trojan']",51.13,https://gmgn.ai/sol/address/5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,104
3dwQJy6nXB6SpzDBaz6hw7qcVCzepX6KNg5sPNw3hxHm,-3.89%,20.43h,"$1,841.39","$-59,044.06",50.00%,[],0.77,https://gmgn.ai/sol/address/3dwQJy6nXB6SpzDBaz6hw7qcVCzepX6KNg5sPNw3hxHm,2
Gv8YFCU9WESGpN6fcGKG9nirqcyF9wVZAqnQ1DjrsfcE,10.52%,33.71h,"$2,262.80","$-35,054.74",100.00%,"['axiom', 'trojan']",14.55,https://gmgn.ai/sol/address/Gv8YFCU9WESGpN6fcGKG9nirqcyF9wVZAqnQ1DjrsfcE,16
9H7nQxF1vmrr9fjcE55Y9RoTb1uhKtE7934y8Ww8oijr,17.52%,34.42h,"$117,381.30","$41,437.45",45.28%,['gmgn'],3.69,https://gmgn.ai/sol/address/9H7nQxF1vmrr9fjcE55Y9RoTb1uhKtE7934y8Ww8oijr,174
